epoch,accuracy,dice_coef,dice_coef_edema,dice_coef_enhancing,dice_coef_necrotic,loss,lr,mean_io_u,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_dice_coef_edema,val_dice_coef_enhancing,val_dice_coef_necrotic,val_loss,val_mean_io_u,val_precision,val_sensitivity,val_specificity
0,0.9806320071220398,0.26314395666122437,0.11866863816976547,0.028277065604925156,0.039757899940013885,0.1091839149594307,0.001,0.627590000629425,0.9785716533660889,0.9749462604522705,0.9944438338279724,0.9824350476264954,0.2686413824558258,0.1809321939945221,0.04363604635000229,0.04417270049452782,0.08903210610151291,0.39793872833251953,0.9821605086326599,0.9821873307228088,0.9940879344940186
1,0.9833360314369202,0.2710495591163635,0.1457972377538681,0.035776522010564804,0.049937814474105835,0.08093950152397156,0.001,0.3918057680130005,0.9832164645195007,0.9826430082321167,0.9944280982017517,0.9824349284172058,0.2784697413444519,0.1724841445684433,0.0645865797996521,0.07969299703836441,0.07526637613773346,0.3756250739097595,0.9822061657905579,0.9822328090667725,0.9940945506095886
2,0.9833357930183411,0.2765021324157715,0.15365979075431824,0.05265914276242256,0.05992414057254791,0.07028823345899582,0.001,0.38320302963256836,0.9831820130348206,0.9832063317298889,0.9944107532501221,0.9824350476264954,0.27140307426452637,0.12444093078374863,0.02648215927183628,0.035066016018390656,0.07493243366479874,0.37562260031700134,0.9823488593101501,0.9823760986328125,0.9941198825836182
3,0.9833358526229858,0.28061118721961975,0.15839020907878876,0.07110695540904999,0.06555023789405823,0.06826160103082657,0.001,0.42255765199661255,0.983178973197937,0.9832032918930054,0.9944069981575012,0.9824349284172058,0.2701364755630493,0.10712709277868271,0.02166830189526081,0.03439851105213165,0.07623530179262161,0.7406107187271118,0.9823635220527649,0.9823901057243347,0.994127094745636
4,0.9833362698554993,0.2835017740726471,0.15669208765029907,0.08976350724697113,0.06827607750892639,0.06631103157997131,0.001,0.38778990507125854,0.983285129070282,0.9832099676132202,0.9944412708282471,0.9824349284172058,0.28395476937294006,0.157253235578537,0.07189153879880905,0.07263290137052536,0.06750603020191193,0.4137173891067505,0.9823102951049805,0.9823371171951294,0.994111955165863
5,0.983364999294281,0.29377561807632446,0.17361146211624146,0.12794697284698486,0.08612058311700821,0.06388004124164581,0.001,0.4234350621700287,0.9836410284042358,0.9823355078697205,0.9945504069328308,0.9825989603996277,0.31327322125434875,0.17336879670619965,0.2418697476387024,0.12160415947437286,0.06412231922149658,0.3756024241447449,0.9826124906539917,0.9823524951934814,0.9942163228988647
6,0.9833911657333374,0.29704204201698303,0.18701881170272827,0.13655635714530945,0.088921919465065,0.06549085676670074,0.001,0.45153528451919556,0.9844880104064941,0.9813507199287415,0.9948335886001587,0.9824571013450623,0.29066595435142517,0.1794867366552353,0.14244979619979858,0.09118097275495529,0.06950006633996964,0.3860524892807007,0.9822773337364197,0.9822767972946167,0.994106113910675
7,0.9836456179618835,0.3135955035686493,0.2067623883485794,0.21241922676563263,0.11281081289052963,0.06022457033395767,0.001,0.38116732239723206,0.9847610592842102,0.9825484752655029,0.9949178695678711,0.9831644296646118,0.33209019899368286,0.2937404215335846,0.2657282054424286,0.14201678335666656,0.06063903123140335,0.392103374004364,0.9854503273963928,0.981126606464386,0.9951515197753906
8,0.9845020174980164,0.3446057438850403,0.28689295053482056,0.2650925815105438,0.15929582715034485,0.0545743927359581,0.001,0.39415594935417175,0.987038791179657,0.9818981289863586,0.995660662651062,0.984921932220459,0.37971118092536926,0.3341687321662903,0.32192081212997437,0.24708105623722076,0.054228439927101135,0.38950979709625244,0.9889376759529114,0.9812062382698059,0.9962533712387085
9,0.9852851629257202,0.36912310123443604,0.3281466066837311,0.33261916041374207,0.19503764808177948,0.05016167089343071,0.001,0.42353561520576477,0.9882820844650269,0.9823357462882996,0.9960558414459229,0.9855684041976929,0.39531126618385315,0.3540877103805542,0.3821547031402588,0.2203029990196228,0.0532163605093956,0.4117579758167267,0.9878404140472412,0.9831898808479309,0.995895504951477
10,0.9854660034179688,0.3743487596511841,0.34269535541534424,0.35663726925849915,0.1884632408618927,0.048881176859140396,0.001,0.4891144037246704,0.9885544776916504,0.9822725057601929,0.9961471557617188,0.9838850498199463,0.35758256912231445,0.2534893751144409,0.2875645160675049,0.17781195044517517,0.05726177245378494,0.38008731603622437,0.9854151606559753,0.982695996761322,0.995125412940979
